index,trial_url,Study (disease • registry),Disease Category,Disease Area,Method,Enrollment (target),Countries (per CMN page),In US?,Start year,Last-updated year,Gene-editing method,Gene-editing category,Phase 1,Phase 2,Phase 3,Countries (per CMN page),,China,#ERROR!
35,https://crisprmedicinenews.com/clinical-trial/hematologic-malignancies-nct04023071/,A Phase I Study of FT516 as Monotherapy in Relapsed/Refractory Acute Myelogenous Leukemia and in Combination With Monoclonal Antibodies in Relapsed/Refractory B-Cell Lymphoma,Hematologic Malignancies,Haematological malignancies (blood cancers),Ex-vivo,72,United States,Yes,2019,2025,Gene enhancement,Epigenetic editing,1,0,0,United States,,,
36,https://crisprmedicinenews.com/clinical-trial/large-b-cell-lymphoma-lbcl-nct06500273/,"A Randomized, Open-label Study Evaluating the Efficacy and Safety of Cemacabtagene Ansegedleucel in Participants With Minimal Residual Disease After Response to First Line Therapy for Large B-cell Lymphoma",Large B-cell lymphoma,Haematological malignancies (blood cancers),Ex-vivo,250,United States,Yes,2024,2025,TALENs,Other,0,1,0,United States,,,
37,https://crisprmedicinenews.com/clinical-trial/multiple-myeloma-mm-nct03399448/,Phase 1 Trial of Autologous T Cells Engineered to Express NY-ESO-1 TCR and CRISPR Gene Edited to Eliminate Endogenous TCR and PD-1 (NYCE T Cells),Multiple Myeloma,Haematological malignancies (blood cancers),Ex-vivo,3,United States,Yes,2018,2025,CRISPR-Cas9,CRISPR-Cas,1,0,0,United States,,,
38,https://crisprmedicinenews.com/clinical-trial/multiple-myeloma-mm-nct05069935/,"A Phase I, Open-Label, Multicenter Study of FT538 in Combination With Monoclonal Antibodies in Subjects With Advanced Solid Tumors",Multiple Myeloma,Haematological malignancies (blood cancers),Ex-vivo,189,United States,Yes,2021,2025,CRISPR-Cas9,CRISPR-Cas,1,0,0,United States,,,
39,https://crisprmedicinenews.com/clinical-trial/pediatric-relapsed-or-refractory-acute-myeloid-leukemia-aml-nct06541405/,"An Open, Single Center Exploratory Study to Evaluate Safety and Efficacy of NK520 for Pediatric Patients With Relapsed/Refractory Acute Myeloid Leukemia","Pediatric Relapsed or Refractory Acute Myeloid Leukemia, AML",Haematological malignancies (blood cancers),Ex-vivo,9,China,No,2024,2025,AccuBase® base editor,Base editing,1,1,0,China,,1,
40,https://crisprmedicinenews.com/clinical-trial/relapsed-of-refractory-b-cell-acute-lymphoblastic-leukaemia-b-all-nct02808442/,"A Phase 1, Open Label, Non-comparative Study to Evaluate the Safety and the Ability of UCART19 to Induce Molecular Remission in Paediatric Patients With Relapsed/Refractory B-cell Acute Lymphoblastic Leukaemia Who",Leukaemia,Haematological malignancies (blood cancers),Ex-vivo,13,"United States, France, Spain, United Kingdom",Yes,2016,2025,TALENs,Other,1,0,0,"United States, France, Spain, United Kingdom",,,
41,https://crisprmedicinenews.com/clinical-trial/relapsed-or-refractory-leukaemia-and-lymphoma-nct05037669/,"Phase I Trial of Programmed Allogeneic CRISPR-edited T Cells (PACE) Gene Edited to Eliminate Endogenous TCR, HLA-class I and HLA-class II and Engineered to Express Anti-CD19 Chimeric Antigen Receptor (PACE CART19) in Patients With Relapsed Or Refractory CD19+ Leukemia and Lymphoma",Relapsed or Refractory Leukaemia and Lymphoma,Haematological malignancies (blood cancers),Ex-vivo,0,,Yes,2022,2025,CRISPR-Cas9,CRISPR-Cas,1,0,0,,,,
42,https://crisprmedicinenews.com/clinical-trial/relapsed-or-refractory-acute-lymphocytic-leukemia-all-nct06481735/,A Phase 1/2 Single-center Study Evaluating the Safety and Efficacy of TCR Reserved and Power3 Gene Knock-out Allogeneic CD19-targeting CAR-T Cell Therapy in Adults With Refractory/Relapsed B-cell Acute Lymphoblastic Leukaemia,Relapsed or Refractory Acute Lymphocytic Leukemia,Haematological malignancies (blood cancers),Ex-vivo,30,China,No,2024,2025,CRISPR-Cas9,CRISPR-Cas,1,1,0,China,,1,
43,https://crisprmedicinenews.com/clinical-trial/relapsed-or-refractory-acute-myeloid-leukaemia-aml-nct03190278/,"Phase I, Open Label Dose Escalation and Dose-Expansion Study to Evaluate the Safety, Expansion, Persistence, and Clinical Activity of UCART123 (Allogeneic Engineered T-cells Expressing Anti-CD123 Chimeric Antigen Receptor), Administered in Patients With Relapsed/Refractory Acute Myeloid Leukemia Who","Relapsed or Refractory Acute Myeloid Leukaemia, AML",Haematological malignancies (blood cancers),Ex-vivo,29,United States,Yes,2017,2025,TALENs,Other,1,0,0,United States,,,
44,https://crisprmedicinenews.com/clinical-trial/relapsed-or-refractory-acute-myeloid-leukaemia-aml-nct05662904/,Genetic Ablation of CD33 in Hematopoietic Stem Cells to Broaden the Therapeutic Index of CD33-directed Immunotherapy in Patients With Acute Myeloid Leukemia (AML),Leukaemia,Haematological malignancies (blood cancers),Ex-vivo,12,Germany,No,2022,2025,CRISPR-Cas9,CRISPR-Cas,1,1,0,Germany,,,
